company_name,founding_year,vc_backed_binary,start_date,exit_date,exit_type,source,tags,team_size,country,adjusted_start,end_date,event,time_years,sector,geography,team_size_category,post_2008,years_since_founding,decade,vc_x_post2008,log_time_years
Captec Net Lease Realty Inc,1997,0,1997-01-01,1997-11-13,IPO,Jay_Ritter,,,,1997-01-01,1997-11-13,1,0.865160848733744,Other,Unknown,Unknown,0,27,1990,0,0.6233472953466449
C3 Inc,1995,0,1996-01-01,1997-11-14,IPO,Jay_Ritter,,,,1996-01-01,1997-11-14,1,1.8699520876112252,Other,Unknown,Unknown,0,29,1990,0,1.0542953354200633
Entertainment Properties Trust,1997,0,1997-01-01,1997-11-18,IPO,Jay_Ritter,,,,1997-01-01,1997-11-18,1,0.8788501026694046,Other,Unknown,Unknown,0,27,1990,0,0.6306599421929315
InterVU Inc,1995,0,1996-01-01,1997-11-19,IPO,Jay_Ritter,,,,1996-01-01,1997-11-19,1,1.8836413415468856,Other,Unknown,Unknown,0,29,1990,0,1.059053850228317
American Physician Partners,1996,1,1997-01-01,1997-11-20,IPO,Jay_Ritter,,,,1997-01-01,1997-11-20,1,0.8843258042436687,Other,Unknown,Unknown,0,28,1990,0,0.6335700933919078
HealthWorld Corp,1996,0,1997-01-01,1997-11-21,IPO,Jay_Ritter,,,,1997-01-01,1997-11-21,1,0.8870636550308009,Other,Unknown,Unknown,0,28,1990,0,0.6350219992730973
HomeUSA Inc,1996,0,1997-01-01,1997-11-21,IPO,Jay_Ritter,,,,1997-01-01,1997-11-21,1,0.8870636550308009,Other,Unknown,Unknown,0,28,1990,0,0.6350219992730973
Teligent Inc,1996,0,1997-01-01,1997-11-21,IPO,Jay_Ritter,,,,1997-01-01,1997-11-21,1,0.8870636550308009,Other,Unknown,Unknown,0,28,1990,0,0.6350219992730973
Apex Silver Mines Ltd,1996,0,1997-01-01,1997-11-25,IPO,Jay_Ritter,,,,1997-01-01,1997-11-25,1,0.8980150581793293,Other,Unknown,Unknown,0,28,1990,0,0.6408086338650786
Consolidation Capital Corp,1997,0,1997-01-01,1997-11-25,IPO,Jay_Ritter,,,,1997-01-01,1997-11-25,1,0.8980150581793293,Other,Unknown,Unknown,0,27,1990,0,0.6408086338650786
